
Learned word: show | phrase: show me brunch menu | top_intent: service | sub_intent: menu
Learned word: alice | phrase: Hold a supper table for four tomorrow at 7pm under Alice.Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: hold | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: supper | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: four | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: 7pm | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: under | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: alice | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: save | phrase: Save a brunch spot for two on Sunday at 10am for Kevin. | top_intent: service | sub_intent: reservation
Learned word: brunch | phrase: Save a brunch spot for two on Sunday at 10am for Kevin. | top_intent: service | sub_intent: reservation
Learned word: spot | phrase: Save a brunch spot for two on Sunday at 10am for Kevin. | top_intent: service | sub_intent: reservation
Learned word: two | phrase: Save a brunch spot for two on Sunday at 10am for Kevin. | top_intent: service | sub_intent: reservation
Learned word: sunday | phrase: Save a brunch spot for two on Sunday at 10am for Kevin. | top_intent: service | sub_intent: reservation
Learned word: 10am | phrase: Save a brunch spot for two on Sunday at 10am for Kevin. | top_intent: service | sub_intent: reservation
Learned word: kevin | phrase: Save a brunch spot for two on Sunday at 10am for Kevin. | top_intent: service | sub_intent: reservation
Learned word: arrange | phrase: Arrange dinner seating for five tomorrow at 6pm under Maria. | top_intent: operation | sub_intent: False
Learned word: dinner | phrase: Arrange dinner seating for five tomorrow at 6pm under Maria. | top_intent: operation | sub_intent: False
Learned word: seating | phrase: Arrange dinner seating for five tomorrow at 6pm under Maria. | top_intent: operation | sub_intent: False
Learned word: five | phrase: Arrange dinner seating for five tomorrow at 6pm under Maria. | top_intent: operation | sub_intent: False
Learned word: 6pm | phrase: Arrange dinner seating for five tomorrow at 6pm under Maria. | top_intent: operation | sub_intent: False
Learned word: under | phrase: Arrange dinner seating for five tomorrow at 6pm under Maria. | top_intent: operation | sub_intent: False
Learned word: maria | phrase: Arrange dinner seating for five tomorrow at 6pm under Maria. | top_intent: operation | sub_intent: False
Learned word: schedule | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: lunch | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: slot | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: three | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: monday | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: noon | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: daniel | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: four | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: 7pm | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: under | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: alice | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: four | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: 7pm | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: under | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: alice | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: four | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: 7pm | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: under | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: alice | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: four | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: 7pm | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: under | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: alice | phrase: Book a table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: hold | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: supper | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: four | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: 7pm | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: under | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: alice | phrase: Hold a supper table for four tomorrow at 7pm under Alice. | top_intent: service | sub_intent: reservation
Learned word: schedule | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: lunch | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: slot | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: three | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: monday | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: noon | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: daniel | phrase: Schedule a lunch slot for three on Monday at noon for Daniel. | top_intent: service | sub_intent: reservation
Learned word: make | phrase: Make a dinner slot for two tomorrow at 7:30pm under Emma. | top_intent: operation | sub_intent: False
Learned word: dinner | phrase: Make a dinner slot for two tomorrow at 7:30pm under Emma. | top_intent: operation | sub_intent: False
Learned word: slot | phrase: Make a dinner slot for two tomorrow at 7:30pm under Emma. | top_intent: operation | sub_intent: False
Learned word: two | phrase: Make a dinner slot for two tomorrow at 7:30pm under Emma. | top_intent: operation | sub_intent: False
Learned word: 7:30pm | phrase: Make a dinner slot for two tomorrow at 7:30pm under Emma. | top_intent: operation | sub_intent: False
Learned word: under | phrase: Make a dinner slot for two tomorrow at 7:30pm under Emma. | top_intent: operation | sub_intent: False
Learned word: emma | phrase: Make a dinner slot for two tomorrow at 7:30pm under Emma. | top_intent: operation | sub_intent: False
Learned word: arrange | phrase: Arrange a supper booking for five on Friday at 6:30pm for Chloe. | top_intent: service | sub_intent: reservation
Learned word: supper | phrase: Arrange a supper booking for five on Friday at 6:30pm for Chloe. | top_intent: service | sub_intent: reservation
Learned word: five | phrase: Arrange a supper booking for five on Friday at 6:30pm for Chloe. | top_intent: service | sub_intent: reservation
Learned word: friday | phrase: Arrange a supper booking for five on Friday at 6:30pm for Chloe. | top_intent: service | sub_intent: reservation
Learned word: 6:30pm | phrase: Arrange a supper booking for five on Friday at 6:30pm for Chloe. | top_intent: service | sub_intent: reservation
Learned word: chloe | phrase: Arrange a supper booking for five on Friday at 6:30pm for Chloe. | top_intent: service | sub_intent: reservation
